time,open,high,low,close
2026-01-02 00:00,4327.52,4356.38,4327.26,4348.11
2026-01-02 04:00,4348.11,4381.83,4344.59,4380.52
2026-01-02 08:00,4380.52,4397.33,4371.89,4385.39
2026-01-02 12:00,4385.39,4402.63,4361.54,4366.06
2026-01-02 16:00,4366.1,4373.62,4314.5,4322.74
2026-01-02 20:00,4322.75,4331.76,4309.54,4330.37
2026-01-05 00:00,4356.62,4420.69,4349.71,4401.95
2026-01-05 04:00,4401.97,4414.52,4388.46,4412.51
2026-01-05 08:00,4412.3,4437.89,4411.15,4434.99
2026-01-05 12:00,4434.99,4440.1,4395.77,4416.91
2026-01-05 16:00,4416.91,4455.82,4416.91,4443.64
2026-01-05 20:00,4443.64,4449.38,4434.65,4448.4
2026-01-06 00:00,4454.76,4460.5,4426.97,4450.23
2026-01-06 04:00,4450.2,4474.33,4448.5,4452.33
2026-01-06 08:00,4452.81,4476.11,4444.55,4446.28
2026-01-06 12:00,4446.28,4470.76,4442.51,4468.07
2026-01-06 16:00,4468.1,4491.64,4462.75,4489.6
2026-01-06 20:00,4489.59,4497.43,4477.48,4497.36
2026-01-07 00:00,4498.69,4500.62,4460.79,4465.72
2026-01-07 04:00,4465.72,4480.39,4442.97,4454.43
2026-01-07 08:00,4454.43,4474.88,4441.03,4463.2
2026-01-07 12:00,4463.18,4468.03,4427.89,4453.1
2026-01-07 16:00,4453.1,4468.58,4423.55,4451.91
2026-01-07 20:00,4452.0,4461.72,4445.14,4453.03
2026-01-08 00:00,4462.13,4466.51,4441.31,4448.27
2026-01-08 04:00,4448.55,4449.72,4415.35,4425.59
2026-01-08 08:00,4425.59,4440.08,4415.62,4432.77
2026-01-08 12:00,4432.77,4436.37,4407.18,4423.63
2026-01-08 16:00,4423.57,4465.44,4418.61,4463.31
2026-01-08 20:00,4463.31,4479.59,4444.43,4476.53
2026-01-09 00:00,4477.23,4480.24,4452.71,4469.08
2026-01-09 04:00,4469.09,4476.54,4457.7,4468.29
2026-01-09 08:00,4468.29,4477.77,4463.83,4471.0
2026-01-09 12:00,4471.0,4492.0,4457.87,4482.52
2026-01-09 16:00,4482.55,4516.92,4479.13,4484.53
2026-01-09 20:00,4484.53,4511.22,4482.84,4510.38
2026-01-12 00:00,4521.4,4600.95,4521.0,4569.99
2026-01-12 04:00,4569.99,4585.2,4561.88,4581.07
2026-01-12 08:00,4581.06,4599.41,4569.44,4589.28
2026-01-12 12:00,4589.28,4620.24,4578.41,4615.83
2026-01-12 16:00,4615.83,4630.07,4584.76,4616.22
2026-01-12 20:00,4616.22,4618.98,4589.21,4593.95
2026-01-13 00:00,4596.53,4599.73,4575.17,4577.76
2026-01-13 04:00,4577.74,4602.26,4576.64,4592.01
2026-01-13 08:00,4592.01,4597.37,4572.79,4586.23
2026-01-13 12:00,4586.24,4621.21,4577.71,4611.57
2026-01-13 16:00,4611.57,4634.67,4586.88,4590.48
2026-01-13 20:00,4590.18,4602.11,4569.53,4587.84
2026-01-14 00:00,4591.86,4620.02,4591.34,4619.3
2026-01-14 04:00,4619.3,4640.09,4613.31,4619.9
2026-01-14 08:00,4619.93,4639.88,4618.66,4630.47
2026-01-14 12:00,4630.47,4641.99,4623.24,4635.62
2026-01-14 16:00,4635.62,4638.8,4599.13,4613.98
2026-01-14 20:00,4613.99,4643.2,4612.51,4620.78
2026-01-15 00:00,4622.57,4623.81,4583.72,4599.93
2026-01-15 04:00,4599.93,4614.73,4580.88,4595.32
2026-01-15 08:00,4595.33,4613.69,4593.43,4612.44
2026-01-15 12:00,4612.44,4623.18,4581.81,4588.49
2026-01-15 16:00,4588.49,4624.81,4583.35,4616.6
2026-01-15 20:00,4616.65,4621.6,4600.81,4614.78
2026-01-16 00:00,4618.65,4621.13,4593.91,4600.33
2026-01-16 04:00,4600.33,4616.51,4591.39,4611.63
2026-01-16 08:00,4611.62,4612.43,4593.48,4600.29
2026-01-16 12:00,4600.33,4616.32,4582.51,4602.05
2026-01-16 16:00,4602.04,4620.72,4536.46,4581.48
2026-01-16 20:00,4581.48,4598.4,4579.78,4594.86
2026-01-19 00:00,4649.04,4690.83,4646.71,4657.14
2026-01-19 04:00,4657.13,4674.29,4653.1,4670.09
2026-01-19 08:00,4670.09,4679.09,4661.46,4668.27
2026-01-19 12:00,4668.26,4673.76,4659.3,4666.26
2026-01-19 16:00,4666.3,4678.88,4661.57,4676.1
2026-01-19 20:00,4676.09,4680.43,4666.87,4669.75
2026-01-20 00:00,4668.84,4676.29,4659.36,4669.77
2026-01-20 04:00,4669.8,4717.03,4665.64,4714.28
2026-01-20 08:00,4714.28,4737.47,4705.02,4732.3
2026-01-20 12:00,4732.31,4738.7,4715.08,4737.46
2026-01-20 16:00,4737.44,4762.44,4722.16,4758.99
2026-01-20 20:00,4758.96,4766.41,4746.96,4763.42
2026-01-21 00:00,4762.06,4844.52,4757.68,4835.33
2026-01-21 04:00,4835.33,4878.23,4817.03,4870.02
2026-01-21 08:00,4870.05,4888.29,4832.29,4860.3
2026-01-21 12:00,4860.3,4880.46,4855.11,4879.4
2026-01-21 16:00,4879.34,4881.12,4802.63,4825.91
2026-01-21 20:00,4825.94,4854.12,4755.89,4836.15
2026-01-22 00:00,4816.0,4821.62,4772.01,4797.65
2026-01-22 04:00,4797.63,4821.63,4774.73,4821.04
2026-01-22 08:00,4821.03,4838.57,4813.85,4823.16
2026-01-22 12:00,4823.15,4836.65,4810.56,4822.27
2026-01-22 16:00,4821.99,4906.2,4820.24,4904.34
2026-01-22 20:00,4904.32,4940.77,4901.08,4936.48
2026-01-23 00:00,4952.44,4967.69,4930.61,4953.34
2026-01-23 04:00,4953.34,4967.26,4938.23,4960.75
2026-01-23 08:00,4960.75,4962.96,4899.21,4918.7
2026-01-23 12:00,4918.7,4948.13,4911.83,4938.79
2026-01-23 16:00,4938.83,4988.36,4932.77,4965.41
2026-01-23 20:00,4965.39,4989.84,4958.19,4982.62
2026-01-26 00:00,5013.68,5085.59,5001.46,5071.08
2026-01-26 04:00,5071.08,5092.99,5052.46,5074.4
2026-01-26 08:00,5074.4,5110.96,5065.25,5083.88
2026-01-26 12:00,5083.88,5097.02,5054.61,5068.73
2026-01-26 16:00,5068.75,5105.24,5058.48,5100.77
2026-01-26 20:00,5100.77,5103.19,4989.3,5014.81
2026-01-27 00:00,5034.33,5075.87,5013.33,5060.2
2026-01-27 04:00,5060.07,5085.31,5049.4,5082.85
2026-01-27 08:00,5082.85,5100.85,5073.14,5098.51
2026-01-27 12:00,5098.51,5098.51,5066.99,5077.09
2026-01-27 16:00,5077.09,5103.26,5046.48,5081.34
2026-01-27 20:00,5081.34,5190.32,5075.92,5189.55
2026-01-28 00:00,5182.08,5225.15,5156.95,5204.83
2026-01-28 04:00,5204.85,5266.38,5201.46,5261.03
2026-01-28 08:00,5261.03,5311.71,5251.86,5278.16
2026-01-28 12:00,5278.16,5289.61,5238.23,5266.61
2026-01-28 16:00,5266.6,5306.97,5234.87,5298.29
2026-01-28 20:00,5298.28,5401.93,5267.99,5399.15
2026-01-29 00:00,5440.95,5597.3,5431.86,5545.28
2026-01-29 04:00,5545.27,5564.62,5504.42,5562.22
2026-01-29 08:00,5562.22,5595.13,5473.97,5514.1
2026-01-29 12:00,5514.11,5542.91,5470.66,5510.39
2026-01-29 16:00,5510.56,5549.41,5093.91,5335.23
2026-01-29 20:00,5335.23,5425.62,5282.48,5395.34
2026-01-30 00:00,5419.53,5450.96,5288.39,5301.27
2026-01-30 04:00,5301.27,5312.88,5111.5,5184.27
2026-01-30 08:00,5184.27,5205.05,4939.01,5013.71
2026-01-30 12:00,5013.76,5145.87,4991.9,5019.12
2026-01-30 16:00,5019.13,5113.34,4800.63,4849.83
2026-01-30 20:00,4849.83,4947.76,4681.74,4864.44
2026-02-02 00:00,4826.85,4885.03,4584.82,4736.78
2026-02-02 04:00,4736.78,4773.05,4496.78,4549.33
2026-02-02 08:00,4549.33,4731.26,4401.81,4719.27
2026-02-02 12:00,4719.27,4811.96,4656.49,4705.82
2026-02-02 16:00,4705.82,4793.71,4596.43,4673.64
2026-02-02 20:00,4673.64,4712.48,4618.31,4664.76
2026-02-03 00:00,4701.05,4856.09,4694.96,4841.25
2026-02-03 04:00,4841.25,4842.08,4745.62,4825.26
2026-02-03 08:00,4825.26,4949.77,4816.31,4916.27
2026-02-03 12:00,4916.28,4951.01,4883.19,4932.67
2026-02-03 16:00,4932.66,4993.89,4893.26,4928.72
2026-02-03 20:00,4928.72,4964.01,4880.36,4939.13
2026-02-04 00:00,4957.5,5053.35,4909.19,5046.15
2026-02-04 04:00,5046.15,5090.02,5035.31,5079.22
2026-02-04 08:00,5079.27,5092.19,5042.13,5059.84
2026-02-04 12:00,5059.84,5064.45,5013.52,5054.11
2026-02-04 16:00,5054.13,5059.05,4852.6,4897.91
2026-02-04 20:00,4897.93,4970.26,4872.74,4963.52
2026-02-05 00:00,4994.68,5023.76,4935.76,4958.98
2026-02-05 04:00,4958.96,4962.08,4789.07,4896.18
2026-02-05 08:00,4896.49,4943.65,4848.59,4855.03
2026-02-05 12:00,4855.0,4894.74,4801.93,4835.43
2026-02-05 16:00,4835.46,4906.77,4799.87,4869.25
2026-02-05 20:00,4869.16,4875.43,4759.36,4770.47
2026-02-06 00:00,4777.09,4785.1,4654.62,4773.86
2026-02-06 04:00,4773.86,4897.95,4760.92,4897.44
2026-02-06 08:00,4897.45,4903.2,4824.96,4866.36
2026-02-06 12:00,4866.34,4938.46,4851.14,4929.19
2026-02-06 16:00,4929.2,4968.73,4894.03,4960.34
2026-02-06 20:00,4960.33,4971.32,4936.28,4961.02
2026-02-09 00:00,4987.62,5047.16,4964.22,4982.6
2026-02-09 04:00,4982.62,5041.28,4968.59,5036.38
2026-02-09 08:00,5036.36,5045.7,4996.46,5007.82
2026-02-09 12:00,5007.83,5024.92,4981.78,5007.03
2026-02-09 16:00,5007.05,5080.21,5001.88,5046.18
2026-02-09 20:00,5046.18,5086.27,5044.09,5065.26
2026-02-10 00:00,5055.95,5064.73,4986.34,5032.78
2026-02-10 04:00,5032.78,5056.28,5010.73,5039.27
2026-02-10 08:00,5039.27,5063.4,5018.2,5046.79
2026-02-10 12:00,5046.8,5058.46,5019.59,5050.88
2026-02-10 16:00,5050.96,5078.33,4998.16,5026.3
2026-02-10 20:00,5026.3,5045.12,5004.36,5023.34
2026-02-11 00:00,5033.84,5054.58,5027.93,5052.3
2026-02-11 04:00,5052.3,5063.9,5032.25,5052.37
2026-02-11 08:00,5052.37,5072.18,5045.29,5062.53
2026-02-11 12:00,5062.53,5119.17,5018.85,5065.58
2026-02-11 16:00,5065.54,5098.84,5035.06,5091.36
2026-02-11 20:00,5091.36,5094.43,5066.14,5079.04
2026-02-12 00:00,5095.45,5096.56,5044.79,5063.26
2026-02-12 04:00,5063.27,5077.95,5050.69,5075.59
2026-02-12 08:00,5075.59,5080.9,5046.73,5073.32
2026-02-12 12:00,5073.31,5083.81,5048.53,5075.07
2026-02-12 16:00,5075.07,5077.87,4877.72,4940.64
2026-02-12 20:00,4940.63,4958.26,4906.34,4919.77
2026-02-13 00:00,4891.08,4988.51,4888.47,4980.57
2026-02-13 04:00,4980.56,4997.08,4944.64,4946.15
2026-02-13 08:00,4946.33,4989.63,4946.04,4970.39
2026-02-13 12:00,4970.38,4999.3,4933.26,4987.06
2026-02-13 16:00,4987.06,5033.48,4963.6,5020.74
2026-02-13 20:00,5020.74,5046.12,5015.21,5042.71
2026-02-16 00:00,5015.02,5032.45,4999.38,5028.98
2026-02-16 04:00,5029.0,5031.33,4964.55,4990.36
2026-02-16 08:00,4990.36,5017.23,4984.79,5013.51
2026-02-16 12:00,5013.51,5017.31,4989.65,4997.07
2026-02-16 16:00,4997.08,4999.59,4968.82,4991.46
2026-02-16 20:00,4991.46,4997.59,4988.06,4991.4
2026-02-17 00:00,4997.91,5000.79,4922.51,4957.88
2026-02-17 04:00,4957.88,4971.14,4856.77,4888.98
2026-02-17 08:00,4888.99,4932.43,4886.06,4926.08
2026-02-17 12:00,4926.08,4944.47,4868.68,4870.59
2026-02-17 16:00,4870.59,4907.34,4840.96,4865.15
2026-02-17 20:00,4865.16,4910.29,4862.25,4877.54
2026-02-18 00:00,4870.94,4892.71,4853.08,4889.71
2026-02-18 04:00,4889.7,4940.19,4886.32,4933.43
2026-02-18 08:00,4933.45,4942.33,4912.59,4917.33
2026-02-18 12:00,4917.32,4968.94,4906.05,4954.42
2026-02-18 16:00,4954.42,5011.12,4951.98,4999.22
2026-02-18 20:00,4999.22,5003.39,4972.61,4979.38
2026-02-19 00:00,4973.09,4988.85,4960.18,4973.14
2026-02-19 04:00,4973.14,4998.66,4965.58,4996.64
2026-02-19 08:00,4996.64,5022.01,4992.87,4995.19
2026-02-19 12:00,4995.19,4998.46,4971.38,4997.06
2026-02-19 16:00,4997.07,5022.43,4962.77,4984.55
2026-02-19 20:00,4984.55,5004.18,4975.14,4999.04
2026-02-20 00:00,5001.65,5015.0,4985.11,4996.83
2026-02-20 04:00,4996.83,5011.98,4981.39,5011.97
2026-02-20 08:00,5011.97,5042.55,5004.84,5027.42
2026-02-20 12:00,5027.41,5048.69,5006.69,5043.8
2026-02-20 16:00,5043.8,5076.47,4989.68,5072.65
2026-02-20 20:00,5072.68,5105.17,5053.95,5104.27
2026-02-23 00:00,5117.46,5171.69,5117.46,5157.4
2026-02-23 04:00,5157.4,5176.64,5151.67,5158.37
2026-02-23 08:00,5158.37,5161.62,5122.0,5149.28
2026-02-23 12:00,5149.27,5165.56,5143.36,5146.01
2026-02-23 16:00,5146.0,5218.88,5141.23,5208.0
2026-02-23 20:00,5208.0,5237.87,5200.89,5231.31
2026-02-24 00:00,5242.85,5249.95,5145.08,5176.9
2026-02-24 04:00,5176.9,5191.99,5160.69,5182.73
2026-02-24 08:00,5182.75,5184.93,5155.85,5171.54
2026-02-24 12:00,5171.52,5181.22,5110.71,5114.83
2026-02-24 16:00,5114.82,5163.82,5092.48,5163.74
2026-02-24 20:00,5163.76,5173.25,5145.97,5148.15
2026-02-25 00:00,5136.4,5190.21,5127.83,5176.19
2026-02-25 04:00,5176.19,5210.53,5166.1,5201.54
2026-02-25 08:00,5201.54,5201.91,5175.67,5192.9
2026-02-25 12:00,5192.91,5195.21,5154.72,5184.97
2026-02-25 16:00,5184.94,5217.82,5158.08,5206.93
2026-02-25 20:00,5206.91,5208.59,5144.94,5170.96
2026-02-26 00:00,5175.47,5198.5,5155.11,5191.61
2026-02-26 04:00,5191.61,5205.75,5173.92,5198.05
2026-02-26 08:00,5198.05,5199.63,5167.5,5186.12
2026-02-26 12:00,5186.1,5190.16,5157.6,5166.24
2026-02-26 16:00,5166.08,5192.94,5130.48,5167.31
2026-02-26 20:00,5167.31,5200.84,5160.08,5187.36
2026-02-27 00:00,5182.07,5195.02,5166.61,5193.6
2026-02-27 04:00,5193.6,5200.43,5173.52,5198.1
2026-02-27 08:00,5198.09,5199.32,5171.95,5175.7
2026-02-27 12:00,5176.02,5240.58,5168.48,5223.14
2026-02-27 16:00,5222.93,5257.78,5213.61,5234.7
2026-02-27 20:00,5234.7,5279.21,5222.2,5277.88
2026-03-02 00:00,5355.55,5393.13,5302.79,5324.36
2026-03-02 04:00,5324.36,5366.75,5316.34,5365.53
2026-03-02 08:00,5365.53,5418.94,5363.25,5391.62
2026-03-02 12:00,5391.62,5416.59,5373.91,5393.79
2026-03-02 16:00,5393.79,5394.84,5259.56,5306.67
2026-03-02 20:00,5306.67,5346.3,5288.74,5327.03
2026-03-03 00:00,5344.62,5379.93,5329.11,5338.8
2026-03-03 04:00,5339.07,5375.78,5304.35,5318.68
2026-03-03 08:00,5318.68,5335.88,5225.89,5274.49
2026-03-03 12:00,5274.55,5288.18,5072.46,5156.57
2026-03-03 16:00,5156.57,5175.64,4995.92,5079.06
2026-03-03 20:00,5079.04,5148.71,5078.68,5087.1
2026-03-04 00:00,5111.15,5178.27,5104.18,5174.57
2026-03-04 04:00,5174.58,5190.67,5140.93,5159.65
2026-03-04 08:00,5159.68,5185.02,5116.0,5182.29
2026-03-04 12:00,5182.3,5205.66,5155.84,5168.08
2026-03-04 16:00,5167.76,5184.8,5119.43,5140.54
2026-03-04 20:00,5140.56,5146.73,5108.4,5135.67
2026-03-05 00:00,5152.46,5186.2,5144.3,5172.26
2026-03-05 04:00,5172.26,5195.22,5147.91,5148.6
2026-03-05 08:00,5148.6,5180.72,5119.53,5160.55
2026-03-05 12:00,5160.52,5171.49,5082.31,5117.76
2026-03-05 16:00,5117.78,5129.69,5053.69,5062.81
2026-03-05 20:00,5062.81,5094.65,5050.69,5077.07
2026-03-06 00:00,5089.71,5143.88,5066.11,5134.64
2026-03-06 04:00,5134.64,5141.42,5113.47,5117.18
2026-03-06 08:00,5117.18,5123.05,5082.95,5085.62
2026-03-06 12:00,5085.62,5130.27,5062.45,5084.61
2026-03-06 16:00,5084.63,5171.31,5080.49,5140.56
2026-03-06 20:00,5140.56,5174.78,5138.19,5170.92
2026-03-09 00:00,5166.14,5170.21,5028.19,5049.88
2026-03-09 04:00,5049.88,5102.3,5014.44,5090.15
2026-03-09 08:00,5090.15,5140.46,5080.57,5096.19
2026-03-09 12:00,5096.19,5132.33,5078.85,5094.46
2026-03-09 16:00,5094.46,5115.74,5060.08,5104.19
2026-03-09 20:00,5104.24,5147.76,5088.43,5138.31
2026-03-10 00:00,5128.44,5155.65,5116.73,5130.94
2026-03-10 04:00,5130.94,5186.75,5124.2,5163.57
2026-03-10 08:00,5163.57,5194.75,5158.35,5182.9
2026-03-10 12:00,5182.89,5191.82,5156.13,5186.32
2026-03-10 16:00,5186.33,5238.4,5184.79,5227.5
2026-03-10 20:00,5227.18,5235.21,5159.15,5195.49
2026-03-11 00:00,5192.6,5219.21,5183.14,5214.96
2026-03-11 04:00,5214.96,5223.43,5193.51,5204.27
2026-03-11 08:00,5204.26,5210.55,5174.86,5187.25
2026-03-11 12:00,5187.23,5197.09,5166.31,5167.25
2026-03-11 16:00,5167.25,5196.2,5148.33,5175.04
2026-03-11 20:00,5175.36,5183.38,5153.79,5176.07
2026-03-12 00:00,5177.95,5178.2,5124.99,5152.53
2026-03-12 04:00,5152.53,5175.07,5140.03,5142.45
2026-03-12 08:00,5142.44,5189.87,5136.85,5177.91
2026-03-12 12:00,5177.9,5191.56,5163.1,5181.04
2026-03-12 16:00,5181.03,5186.08,5109.54,5123.03
2026-03-12 20:00,5123.05,5129.38,5054.31,5080.7
2026-03-13 00:00,5083.43,5115.16,5078.66,5113.27
2026-03-13 04:00,5113.59,5128.48,5102.15,5104.14
2026-03-13 08:00,5104.13,5110.84,5060.62,5086.9
2026-03-13 12:00,5086.87,5121.67,5079.74,5117.77
2026-03-13 16:00,5118.09,5121.12,5018.18,5045.83
2026-03-13 20:00,5045.83,5063.97,5009.09,5018.5
2026-03-16 00:00,5015.1,5030.94,4967.18,5025.27
2026-03-16 04:00,5025.28,5026.42,4982.42,5012.47
2026-03-16 08:00,5012.44,5035.88,4991.46,4997.36
2026-03-16 12:00,4990.26,5025.32,4969.44,5019.71
2026-03-16 16:00,5019.71,5038.18,4973.47,4990.4
2026-03-16 20:00,4990.4,5021.45,4983.41,5009.05
2026-03-17 00:00,5010.88,5015.91,4997.7,5002.39
2026-03-17 04:00,5002.39,5042.16,4993.94,5037.41
2026-03-17 08:00,5037.42,5044.18,5004.38,5024.19
2026-03-17 12:00,5024.21,5025.66,4991.32,5011.21
2026-03-17 16:00,5011.21,5031.37,4972.89,5001.68
2026-03-17 20:00,5001.69,5008.91,4995.88,5002.93
2026-03-18 00:00,5001.05,5012.38,4992.97,5003.79
2026-03-18 04:00,5003.79,5015.76,4981.15,4986.73
2026-03-18 08:00,4986.71,5016.45,4976.86,4987.65
2026-03-18 12:00,4987.64,4995.33,4870.43,4881.06
2026-03-18 16:00,4881.04,4894.54,4833.94,4886.49
2026-03-18 20:00,4886.49,4899.23,4806.33,4825.33
2026-03-19 00:00,4825.41,4848.58,4804.13,4841.04
2026-03-19 04:00,4841.04,4866.92,4832.36,4849.82
2026-03-19 08:00,4849.82,4853.91,4686.13,4708.79
2026-03-19 12:00,4708.79,4725.62,4530.99,4573.93
2026-03-19 16:00,4573.93,4649.13,4502.28,4584.69
2026-03-19 20:00,4584.69,4663.26,4573.4,4657.58
2026-03-20 00:00,4659.23,4677.01,4633.71,4648.31
2026-03-20 04:00,4648.29,4735.83,4639.1,4721.1
2026-03-20 08:00,4721.1,4734.6,4660.98,4693.54
2026-03-20 12:00,4693.55,4700.19,4636.8,4678.32
2026-03-20 16:00,4678.32,4679.63,4540.05,4582.86
2026-03-20 20:00,4582.85,4600.77,4476.98,4497.27
